name,city,price,stars,rating_text,num_reviews,total_rating,staff,facilities,cleanliness,comfort,value_for_money,location_rating
The Zabeer Dhaka,"Uttara, Dhaka","BDT 7,460",3,Good,26,7.8,8.7,8.8,8.1,8.8,-1,-1
Maya Eco Apartment Service,"Gulshan, Dhaka","BDT 3,489",0,Good,48,7.5,7.8,8.3,8.8,5,-1,-1
Hotel Grand Circle Inn,Dhaka,"BDT 3,655",3,Good,322,7.5,-1,8.5,8,8.1,8.2,8
Banorupa Kuakata hotel,Kuākāta,"BDT 2,711",0,Excellent,35,8.7,8.4,8.7,9.1,8.4,8.1,10
Homestay 2,Dhaka,BDT 886,0,Review score,9,6.9,7.2,8.1,-1,-1,-1,-1
Khondoker Bari Apartment,Lālabāzār,"BDT 7,177",0,Review score,1,1,2.5,2.5,5,5,-1,-1
Sohib Manzil,Sylhet,"BDT 7,088",0,Review score,0,0,-1,-1,-1,-1,-1,-1
Hotel Star Pacific,Sylhet,"BDT 6,280",4,Good,21,7.7,8.2,7.1,8.5,-1,-1,-1
Marino Royal Hotel,"Uttara, Dhaka","BDT 8,656",4,Good,148,7.8,8.8,8.1,8.5,8.4,7.9,8.8
UU Residential Hotel,Dhaka,"BDT 2,769",4,Review score,0,0,-1,-1,-1,-1,-1,-1
Saint Martin Resort,Cox's Bazar,"BDT 2,215",0,Review score,11,4.7,6.7,-1,-1,-1,-1,-1
Shinepukur Suites,"Gulshan, Dhaka","BDT 9,967",0,Very Good,36,8.1,7.6,8.2,8.4,7.6,8.6,8.1
Galesia Hotel & Resort,"Gulshan, Dhaka","BDT 4,811",3,Good,200,7.3,-1,8.2,7.3,7.8,7.8,7.3
The Westin Dhaka,"Gulshan, Dhaka","BDT 26,469",5,Very Good,93,8.1,8.6,8.4,8.9,8.8,7.3,8.4
Paragon Hotel and Resort,Sreemangal,"BDT 13,954",3,Very Good,4,8.5,8.1,8.1,9.4,-1,-1,-1
West Park Inn,"Gulshan, Dhaka","BDT 3,322",3,Review score,167,6.2,6.7,6.8,6.5,8.2,8.4,-1
Rahma’s B&B,Sylhet,"BDT 4,493",0,Exceptional,17,9.5,9,9.7,-1,-1,-1,-1
HOTEL BLUE BIRD,"Uttara, Dhaka","BDT 1,993",3,Review score,384,5.7,6.4,6.4,6.5,6.3,7.8,6.9
Nitol Bay Resort,Kelātali,"BDT 6,479",3,Review score,1,1,5,2.5,2.5,2.5,-1,-1
Private Room in Bashundhara near Airport,Barua,"BDT 2,268",0,Very Good,8,8.1,7.5,-1,-1,-1,-1,-1
Hotel Gulshan Lake View,"Gulshan, Dhaka","BDT 4,984",3,Review score,198,6,6.3,6.8,6.7,6.5,7.4,5
Hotel Suite Palace Dhaka,Dhaka,"BDT 2,879",3,Good,20,7.4,7,7.2,6.7,7,7.5,5
Orchid Business Hotel,Chittagong,"BDT 3,433",3,Review score,3,5.3,6.7,5,7.5,-1,-1,-1
"The Midori by Lakeshore, Gulshan , Dhaka","Gulshan, Dhaka","BDT 14,034",4,Good,46,7.9,-1,8.3,7.8,8.3,8.1,7.5
"The Midori by Lakeshore, Gulshan , Dhaka","Gulshan, Dhaka","BDT 10,233",4,Good,46,7.9,-1,8.3,7.8,8.3,8.1,7.5
Asia Hotel & Resorts,Dhaka,"BDT 5,183",3,Good,121,7.4,8.6,7.8,7.9,7.9,7.4,7.4
Hotel Blue Castle,"Uttara, Dhaka","BDT 2,769",3,Good,257,7.3,-1,8.3,7.6,7.7,7.6,7.5
Jatra Flagship Chattogram City Centre,Chittagong,"BDT 3,246",4,Very Good,189,8.4,9.3,8.4,9.1,9,8.5,8.5
Asba Cottage,Maulvi Bāzār,"BDT 2,492",0,Review score,0,0,-1,-1,-1,-1,-1,-1
Sunset Serenity,Jaliapāra,"BDT 13,047",0,Review score,1,5,5,-1,-1,-1,-1,-1
ISMAIL Guest Room,Joār Sāhāra,"BDT 2,215",0,Review score,0,0,-1,-1,-1,-1,-1,-1
