name,city,price,stars,rating_text,num_reviews,total_rating,staff,facilities,cleanliness,comfort,value_for_money,location_rating
Golden Tulip The Grandmark Dhaka,Dhaka,8303,4,Excellent,55,8.7,,9.1,8.6,8.8,9,8.2
Jatra Flagship Dhaka Lake View,Dhaka,6406,4,Excellent,343,8.8,,9.5,8.5,9.2,9.1,8.8
Hotel Air Inn Ltd - Airport View,Dhaka,3077,3,None,142,6.5,,7.5,6.9,7.2,7.3,6.8
Hotel West Valley Dhaka,Dhaka,3322,3,Wonderful,15,9.1,9.3,9.5,8.8,9.3,5,
The Shahin Residence,Dhaka,2539,2,Very Good,65,8.1,,8.7,8.1,8.8,8.2,7.7
The Zabeer Jashore,Jessore,8838,4,Good,23,7.5,8.2,8,7,8.6,10,
Bengal Blueberry,Dhaka,8501,4,Very Good,69,8,,8.9,8.4,8.8,8.5,7.8
Hotel Victory - Best in City Center,Dhaka,3524,3,Good,54,7.7,8.2,7.9,7.9,7.5,7.5,8.6
Royal Park Residence Hotel,Dhaka,9691,4,Very Good,71,8.1,,8.9,8,8.4,8.3,7.8
Rafflesia Serviced Apartments,Dhaka,7752,0,Very Good,56,8.2,8.9,8.3,8.6,8.4,8.5,9
Hotel Asia,Cox's Bazar,997,1,None,80,4.6,5.4,5.3,5.7,4.8,6.4,
Hotel Sea Shine,Cox's Bazar,1661,0,None,171,4.7,5.5,7.6,5.8,,,
Hotel Rongdhanu Residential,Dhaka,1152,2,None,32,6.8,7.3,7.3,7.7,7.6,10,
Hotel Seven Star,Dhaka,1772,1,None,177,5.9,6.4,6.5,6.3,6,5.5,
Short stay service apartment,Dhaka,1157,0,Good,96,7.6,8,8,7.8,7.6,8.1,
The Alina Hotel Near Railway Station,Chittagong,2769,3,None,16,6,6.5,6.2,5.3,7.9,5,
Hotel Sea Crown,Cox's Bazar,2990,3,Good,459,7,7.4,7.5,7.1,9.1,8,
Hotel Gulshan Lake View,Dhaka,3210,3,None,198,6,6.3,6.8,6.7,6.5,7.4,5
Moon Nest,Chittagong,4430,0,Very Good,21,8.3,7.2,,,,,
Anchorage The Residence,Dhaka,3289,4,None,32,6.4,7.7,7.1,6.8,6.6,6.7,7.3
Pan Pacific Sonargaon Dhaka,Dhaka,12625,5,Good,266,7.7,7.7,8.1,8.2,7.3,8.4,7.6
W Hotel,Sylhet,1052,3,Good,26,7.2,7.7,7.4,7.3,7.2,7.5,8.3
Richmond Hotel & Suites,Dhaka,2613,3,None,569,5.8,7.2,6.3,6.5,6.4,6.3,8
Radisson blu Dhaka Water Garden,Dhaka,18274,5,Good,500,7,,7.7,7.4,7.8,7.8,6.6
Contemporary Heights Hotel and Apartments,Dhaka,3365,4,None,199,5.7,6.4,6.6,6.1,7.4,5.5,
Park Hyatt Dhaka,Dhaka,3433,3,None,27,6.5,6.5,7.3,6.9,6.9,8,6.9
Dhaka Regency Hotel & Resort Limited,Dhaka,13844,5,None,127,6.9,,7.7,7.4,7.8,7.6,6.6
Hotel Ornate,Dhaka,2769,3,None,275,6.2,7,6.7,6.4,7.8,7.3,
Grand Mostafa Hotel Ababil,Sylhet,4984,4,Good,127,7.8,,8.3,7.9,8.7,8.7,8.3
Hotel Windy Terrace,Cox's Bazar,3876,0,Good,133,7.1,8,8,7.5,7.2,8.3,
Hotel Mira Garden,Sylhet,3876,4,Good,273,7.9,8.6,7.9,8.5,8.4,7.9,8.3
Civic Inn,Dhaka,3876,3,None,277,6.1,6.7,6.9,6.4,7.9,6.7,
Secured Studio Apartment near Airport AC WiFi Oven,Dhaka,1037,0,None,20,4.8,4.5,,,,,
Hotel New Royal Palace Dhanmondi,Dhaka,1661,2,None,27,5.8,6.5,6.5,6.7,6.7,7.4,4
Hotel Prime Inn Mirpur 10,Dhaka,1883,2,Good,13,7,7.3,7.5,7.5,7.7,7.5,
Jatra Hotel Grand Royal,Dhaka,4149,4,Good,95,7.1,7.7,8.1,7.8,7.3,8.6,
Holiday Xpress,Dhaka,3212,3,None,41,6,7.1,7.2,7,7.8,6.6,
White Park Boutique Hotel,Chittagong,2990,0,None,73,5.4,7.8,,,,,
Hotel Sea Cox,Cox's Bazar,2769,3,None,174,5.8,6.3,6.7,5.9,7.8,5.4,
The Elite Residence Dhaka,Dhaka,2736,4,None,134,6.8,,8.1,7.1,7.3,7.4,7.3
Ali International Hotel,Dhaka,1395,0,None,79,5.6,5.8,6.2,4.8,,,
Hotel Sea World Cox's Bazar,Cox's Bazar,2326,3,None,66,5.3,6.2,6.3,6.3,6.1,7.6,7.5
Hotel As Shams International,Dhaka,1495,1,None,130,5.3,6.2,6.2,5.6,6.5,6.3,
Beststay Uttara Full furnished apartment with AC Wifi,Dhaka,2144,0,None,11,6.5,8.2,7.7,8.2,,,
GRAND MAFI,Sylhet,2558,3,Good,34,7,7.4,7.9,7.5,7.3,8,5.4
Hotel Shalimar Motijheel - Centre of City,Dhaka,2891,3,None,89,5.6,5.8,5.9,8.1,,,
Hotel Diamond Park,Chittagong,1329,0,None,43,5.8,6.5,7.4,5,,,
